city|location|price|bedrooms|baths|size
Lahore|DHA Phase 6, DHA Defence|74500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|51500000|5|6|4500
Lahore|Dream Gardens, Defence Road|7500000|1|1|518
Lahore|DHA Phase 6, DHA Defence|73000000|5|6|4500
Lahore|Bahria Town - Sector B, Bahria Town|5700000|1|1|472
Lahore|DHA Phase 5 - Block L, DHA Phase 5|53500000|5|6|2250
Lahore|Bahria Town - Overseas A, Bahria Town - Overseas Enclave|97500000|5|6|4500
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|47000000|5|7|4500
Lahore|Bahria Town - Sector E, Bahria Town|5000000|1|1|450
Lahore|Raiwind Road, Lahore|8299000|1|1|630
Lahore|DHA Phase 6, DHA Defence|95000000|6|7|4500
Lahore|DHA 11 Rahbar Phase 2 - Block K, DHA 11 Rahbar Phase 2|20000000|3|4|1125
Lahore|Ali Park - Block E, Ali Park|8000000|3|3|562
Lahore|Bahria Town - Jinnah Block, Bahria Town - Sector E|20700000|3|4|1125
Lahore|Bahria Town - Overseas A, Bahria Town - Overseas Enclave|32800000|0|0|2250
Lahore|DHA Phase 5, DHA Defence|85000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|378000000|6|7|9000
Lahore|Bahria Town - Block AA, Bahria Town - Sector D|18300000|3|4|1125
Lahore|Bahria Town - Overseas A, Bahria Town - Overseas Enclave|32800000|5|6|2250
Lahore|Bahria Town - Block AA, Bahria Town - Sector D|18500000|3|4|1125
Lahore|Al-Kabir Town - Phase 2, Al-Kabir Town|17500000|4|5|1125
Lahore|DHA Phase 7, DHA Defence|73000000|5|6|4500
Lahore|PCSIR Housing Scheme Phase 2, PCSIR Housing Scheme|62500000|5|6|4500
Lahore|Jubilee Town, Lahore|16500000|5|6|1125
Lahore|Wapda Town Phase 1, Wapda Town|52500000|5|6|4500
Lahore|Architects Engineers Housing Society, Lahore|57000000|5|5|4500
Lahore|Johar Town, Lahore|29000000|5|5|1125
Lahore|Paragon City, Lahore|50000000|5|6|2250
Lahore|Johar Town Phase 2, Johar Town|29000000|5|6|1125
Lahore|DHA Phase 7 - Block Y, DHA Phase 7|61000000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|78400000|5|6|4500
Lahore|Askari 11 - Sector B, Askari 11|23000000|3|4|2250
Lahore|Sadaat Town, Lahore|16000000|3|4|1125
Lahore|Bahria Town - Jinnah Block, Bahria Town - Sector E|22000000|3|4|1125
Lahore|Al-Kabir Town - Phase 2, Al-Kabir Town|9000000|3|4|675
Lahore|DHA 9 Town, DHA Defence|19500000|3|4|1125
